rank,ngrama,modelo,reduccion,score_ranking,silhouette,n_clusters,n_ruido,pct_ruido,inercia,codo_k,hiperparametros
71,trigramas,jerarquico,UMAP,0.268439,0.268439,10,0,0.0,,,"k=10,metodo=complete"
72,trigramas,jerarquico,TSNE,0.264753,0.264753,7,0,0.0,,,"k=7,metodo=average"
73,trigramas,jerarquico,PCA,0.264538,0.264538,4,0,0.0,,,"k=4,metodo=complete"
74,trigramas,jerarquico,TSNE,0.263548,0.263548,10,0,0.0,,,"k=10,metodo=complete"
75,trigramas,jerarquico,TSNE,0.260249,0.260249,7,0,0.0,,,"k=7,metodo=ward"
76,trigramas,jerarquico,UMAP,0.260073,0.260073,2,0,0.0,,,"k=2,metodo=complete"
77,trigramas,jerarquico,UMAP,0.259809,0.259809,4,0,0.0,,,"k=4,metodo=ward"
78,trigramas,jerarquico,TSNE,0.259415,0.259415,9,0,0.0,,,"k=9,metodo=complete"
79,trigramas,jerarquico,UMAP,0.259115,0.259115,5,0,0.0,,,"k=5,metodo=complete"
80,trigramas,jerarquico,UMAP,0.258127,0.258127,7,0,0.0,,,"k=7,metodo=average"
81,trigramas,jerarquico,UMAP,0.253522,0.253522,3,0,0.0,,,"k=3,metodo=ward"
82,trigramas,jerarquico,TSNE,0.237208,0.237208,2,0,0.0,,,"k=2,metodo=average"
83,trigramas,jerarquico,PCA,0.212018,0.212018,10,0,0.0,,,"k=10,metodo=single"
84,trigramas,jerarquico,PCA,0.181293,0.181293,4,0,0.0,,,"k=4,metodo=average"
85,trigramas,jerarquico,UMAP,0.175453,0.175453,2,0,0.0,,,"k=2,metodo=single"
86,trigramas,jerarquico,PCA,0.167508,0.167508,9,0,0.0,,,"k=9,metodo=single"
87,trigramas,jerarquico,TSNE,0.128675,0.128675,2,0,0.0,,,"k=2,metodo=single"
88,trigramas,jerarquico,PCA,0.094972,0.094972,5,0,0.0,,,"k=5,metodo=single"
89,trigramas,jerarquico,PCA,0.077142,0.077142,6,0,0.0,,,"k=6,metodo=single"
90,trigramas,jerarquico,UMAP,0.07447,0.07447,4,0,0.0,,,"k=4,metodo=single"
91,trigramas,jerarquico,UMAP,0.073183,0.073183,3,0,0.0,,,"k=3,metodo=single"
92,trigramas,jerarquico,PCA,0.063289,0.063289,4,0,0.0,,,"k=4,metodo=single"
93,trigramas,jerarquico,PCA,0.006939,0.006939,7,0,0.0,,,"k=7,metodo=single"
94,trigramas,jerarquico,PCA,-0.013594,-0.013594,8,0,0.0,,,"k=8,metodo=single"
95,trigramas,jerarquico,UMAP,-0.069467,-0.069467,8,0,0.0,,,"k=8,metodo=single"
96,trigramas,jerarquico,UMAP,-0.087754,-0.087754,5,0,0.0,,,"k=5,metodo=single"
97,trigramas,jerarquico,TSNE,-0.096819,-0.096819,5,0,0.0,,,"k=5,metodo=single"
98,trigramas,jerarquico,UMAP,-0.098196,-0.098196,6,0,0.0,,,"k=6,metodo=single"
99,trigramas,jerarquico,UMAP,-0.113679,-0.113679,7,0,0.0,,,"k=7,metodo=single"
100,trigramas,jerarquico,TSNE,-0.114928,-0.114928,4,0,0.0,,,"k=4,metodo=single"
101,trigramas,jerarquico,TSNE,-0.122221,-0.122221,3,0,0.0,,,"k=3,metodo=single"
102,trigramas,jerarquico,TSNE,-0.144235,-0.144235,9,0,0.0,,,"k=9,metodo=single"
103,trigramas,jerarquico,TSNE,-0.150082,-0.150082,10,0,0.0,,,"k=10,metodo=single"
104,trigramas,jerarquico,TSNE,-0.166992,-0.166992,8,0,0.0,,,"k=8,metodo=single"
105,trigramas,jerarquico,UMAP,-0.178905,-0.178905,9,0,0.0,,,"k=9,metodo=single"
106,trigramas,jerarquico,TSNE,-0.188824,-0.188824,7,0,0.0,,,"k=7,metodo=single"
107,trigramas,jerarquico,TSNE,-0.210542,-0.210542,6,0,0.0,,,"k=6,metodo=single"
108,trigramas,jerarquico,UMAP,-0.223624,-0.223624,10,0,0.0,,,"k=10,metodo=single"
1,trigramas,kmeans,UMAP,1.0,0.348804,3,0,0.0,59.9994,3.0,k=3
2,trigramas,kmeans,TSNE,1.0,0.352849,3,0,0.0,5921414.0,3.0,k=3
3,trigramas,kmeans,TSNE,0.800083,0.339741,4,0,0.0,4300335.0,3.0,k=4
4,trigramas,kmeans,PCA,0.766667,0.502699,10,0,0.0,0.3723,3.0,k=10
5,trigramas,kmeans,TSNE,0.712645,0.338106,6,0,0.0,2846979.0,3.0,k=6
6,trigramas,kmeans,PCA,0.671639,0.460035,8,0,0.0,0.5638,3.0,k=8
7,trigramas,kmeans,PCA,0.650061,0.463137,9,0,0.0,0.4941,3.0,k=9
8,trigramas,kmeans,UMAP,0.647423,0.320414,4,0,0.0,45.6188,3.0,k=4
9,trigramas,kmeans,TSNE,0.641959,0.327298,2,0,0.0,9386757.0,3.0,k=2
10,trigramas,kmeans,UMAP,0.628933,0.318769,2,0,0.0,96.2349,3.0,k=2
11,trigramas,kmeans,PCA,0.582504,0.392541,3,0,0.0,1.5599,3.0,k=3
12,trigramas,kmeans,PCA,0.569686,0.424339,7,0,0.0,0.699,3.0,k=7
13,trigramas,kmeans,PCA,0.568705,0.406491,5,0,0.0,0.9043,3.0,k=5
14,trigramas,kmeans,UMAP,0.557563,0.32428,8,0,0.0,22.2324,3.0,k=8
15,trigramas,kmeans,TSNE,0.544406,0.327491,7,0,0.0,2433478.25,3.0,k=7
16,trigramas,kmeans,TSNE,0.521303,0.320427,5,0,0.0,3695762.0,3.0,k=5
17,trigramas,kmeans,PCA,0.499129,0.396928,6,0,0.0,0.8179,3.0,k=6
18,trigramas,kmeans,UMAP,0.468886,0.313429,7,0,0.0,26.4578,3.0,k=7
19,trigramas,kmeans,PCA,0.449683,0.366291,4,0,0.0,1.2555,3.0,k=4
20,trigramas,kmeans,UMAP,0.394127,0.31271,9,0,0.0,20.32,3.0,k=9
21,trigramas,kmeans,UMAP,0.339703,0.296013,5,0,0.0,38.1145,3.0,k=5
22,trigramas,kmeans,TSNE,0.273969,0.311456,9,0,0.0,1918170.0,3.0,k=9
23,trigramas,kmeans,PCA,0.266667,0.318001,2,0,0.0,2.6531,3.0,k=2
24,trigramas,kmeans,UMAP,0.258278,0.303593,10,0,0.0,18.0966,3.0,k=10
25,trigramas,kmeans,TSNE,0.249532,0.306911,8,0,0.0,2209797.0,3.0,k=8
26,trigramas,kmeans,UMAP,0.2,0.286553,6,0,0.0,33.0395,3.0,k=6
27,trigramas,kmeans,TSNE,0.066667,0.297767,10,0,0.0,1773235.25,3.0,k=10
1,unigramas,dbscan,UMAP,0.567097,0.567097,11,0,0.0,,,"eps=0.5,min_samples=2"
2,unigramas,dbscan,UMAP,0.567097,0.567097,11,0,0.0,,,"eps=0.5,min_samples=3"
3,unigramas,dbscan,UMAP,0.567097,0.567097,11,0,0.0,,,"eps=0.5,min_samples=4"
4,unigramas,dbscan,UMAP,0.549102,0.56368,23,3,0.0259,,,"eps=0.3,min_samples=2"
5,unigramas,dbscan,UMAP,0.527035,0.527035,6,0,0.0,,,"eps=0.9,min_samples=2"
6,unigramas,dbscan,UMAP,0.527035,0.527035,6,0,0.0,,,"eps=0.9,min_samples=3"
7,unigramas,dbscan,UMAP,0.527035,0.527035,6,0,0.0,,,"eps=0.9,min_samples=4"
8,unigramas,dbscan,UMAP,0.525634,0.59778,8,14,0.1207,,,"eps=0.5,min_samples=5"
9,unigramas,dbscan,UMAP,0.525213,0.525213,8,0,0.0,,,"eps=0.7,min_samples=2"
10,unigramas,dbscan,UMAP,0.525213,0.525213,8,0,0.0,,,"eps=0.7,min_samples=3"
11,unigramas,dbscan,UMAP,0.525213,0.525213,8,0,0.0,,,"eps=0.7,min_samples=4"
12,unigramas,dbscan,UMAP,0.51981,0.558314,3,8,0.069,,,"eps=1.2,min_samples=5"
13,unigramas,dbscan,UMAP,0.51981,0.558314,3,8,0.069,,,"eps=1.2,min_samples=6"
14,unigramas,dbscan,UMAP,0.51981,0.558314,3,8,0.069,,,"eps=1.2,min_samples=7"
15,unigramas,dbscan,UMAP,0.514831,0.558134,20,9,0.0776,,,"eps=0.3,min_samples=3"
16,unigramas,dbscan,UMAP,0.508995,0.508995,5,0,0.0,,,"eps=1.2,min_samples=2"
17,unigramas,dbscan,UMAP,0.508995,0.508995,5,0,0.0,,,"eps=1.2,min_samples=3"
18,unigramas,dbscan,UMAP,0.508995,0.508995,5,0,0.0,,,"eps=1.2,min_samples=4"
19,unigramas,dbscan,UMAP,0.508973,0.711336,14,33,0.2845,,,"eps=0.3,min_samples=4"
20,unigramas,dbscan,UMAP,0.508467,0.608064,9,19,0.1638,,,"eps=0.5,min_samples=6"
21,unigramas,dbscan,UMAP,0.485962,0.521959,4,8,0.069,,,"eps=0.9,min_samples=5"
22,unigramas,dbscan,UMAP,0.485962,0.521959,4,8,0.069,,,"eps=0.9,min_samples=6"
23,unigramas,dbscan,UMAP,0.485962,0.521959,4,8,0.069,,,"eps=0.9,min_samples=7"
24,unigramas,dbscan,UMAP,0.485325,0.54658,6,13,0.1121,,,"eps=0.7,min_samples=7"
25,unigramas,dbscan,UMAP,0.483311,0.519112,6,8,0.069,,,"eps=0.7,min_samples=5"
26,unigramas,dbscan,UMAP,0.483311,0.519112,6,8,0.069,,,"eps=0.7,min_samples=6"
27,unigramas,dbscan,UMAP,0.466945,0.685641,7,37,0.319,,,"eps=0.5,min_samples=7"
28,unigramas,dbscan,UMAP,0.315295,0.850564,6,73,0.6293,,,"eps=0.3,min_samples=5"
29,unigramas,dbscan,PCA,0.206557,0.23039,6,12,0.1034,,,"eps=0.1,min_samples=3"
30,unigramas,dbscan,PCA,0.206557,0.23039,6,12,0.1034,,,"eps=0.1,min_samples=4"
31,unigramas,dbscan,PCA,0.190536,0.190536,12,0,0.0,,,"eps=0.1,min_samples=2"
32,unigramas,dbscan,UMAP,0.15875,0.920748,3,96,0.8276,,,"eps=0.3,min_samples=6"
1,unigramas,jerarquico,UMAP,0.574338,0.574338,10,0,0.0,,,"k=10,metodo=ward"
2,unigramas,jerarquico,UMAP,0.574338,0.574338,10,0,0.0,,,"k=10,metodo=average"
3,unigramas,jerarquico,UMAP,0.567293,0.567293,2,0,0.0,,,"k=2,metodo=ward"
4,unigramas,jerarquico,UMAP,0.567293,0.567293,2,0,0.0,,,"k=2,metodo=complete"
5,unigramas,jerarquico,UMAP,0.567293,0.567293,2,0,0.0,,,"k=2,metodo=average"
6,unigramas,jerarquico,UMAP,0.565073,0.565073,7,0,0.0,,,"k=7,metodo=single"
7,unigramas,jerarquico,UMAP,0.562841,0.562841,9,0,0.0,,,"k=9,metodo=average"
8,unigramas,jerarquico,UMAP,0.561857,0.561857,8,0,0.0,,,"k=8,metodo=average"
9,unigramas,jerarquico,UMAP,0.558655,0.558655,10,0,0.0,,,"k=10,metodo=complete"
10,unigramas,jerarquico,UMAP,0.556198,0.556198,6,0,0.0,,,"k=6,metodo=average"
11,unigramas,jerarquico,UMAP,0.553647,0.553647,9,0,0.0,,,"k=9,metodo=ward"
12,unigramas,jerarquico,UMAP,0.553647,0.553647,9,0,0.0,,,"k=9,metodo=complete"
13,unigramas,jerarquico,UMAP,0.552983,0.552983,7,0,0.0,,,"k=7,metodo=average"
14,unigramas,jerarquico,UMAP,0.540716,0.540716,5,0,0.0,,,"k=5,metodo=ward"
15,unigramas,jerarquico,UMAP,0.540716,0.540716,5,0,0.0,,,"k=5,metodo=average"
16,unigramas,jerarquico,UMAP,0.537501,0.537501,6,0,0.0,,,"k=6,metodo=ward"
17,unigramas,jerarquico,UMAP,0.53741,0.53741,7,0,0.0,,,"k=7,metodo=ward"
18,unigramas,jerarquico,UMAP,0.534523,0.534523,4,0,0.0,,,"k=4,metodo=ward"
19,unigramas,jerarquico,UMAP,0.534523,0.534523,4,0,0.0,,,"k=4,metodo=complete"
20,unigramas,jerarquico,UMAP,0.534523,0.534523,4,0,0.0,,,"k=4,metodo=average"
21,unigramas,jerarquico,UMAP,0.533999,0.533999,3,0,0.0,,,"k=3,metodo=complete"
22,unigramas,jerarquico,UMAP,0.533999,0.533999,3,0,0.0,,,"k=3,metodo=average"
23,unigramas,jerarquico,UMAP,0.531461,0.531461,9,0,0.0,,,"k=9,metodo=single"
24,unigramas,jerarquico,UMAP,0.528719,0.528719,10,0,0.0,,,"k=10,metodo=single"
25,unigramas,jerarquico,UMAP,0.527937,0.527937,5,0,0.0,,,"k=5,metodo=complete"
26,unigramas,jerarquico,UMAP,0.527035,0.527035,6,0,0.0,,,"k=6,metodo=single"
27,unigramas,jerarquico,UMAP,0.525213,0.525213,8,0,0.0,,,"k=8,metodo=single"
28,unigramas,jerarquico,PCA,0.519603,0.519603,10,0,0.0,,,"k=10,metodo=average"
29,unigramas,jerarquico,UMAP,0.517569,0.517569,8,0,0.0,,,"k=8,metodo=ward"
30,unigramas,jerarquico,UMAP,0.515145,0.515145,6,0,0.0,,,"k=6,metodo=complete"
31,unigramas,jerarquico,UMAP,0.514893,0.514893,8,0,0.0,,,"k=8,metodo=complete"
32,unigramas,jerarquico,PCA,0.514204,0.514204,3,0,0.0,,,"k=3,metodo=average"
33,unigramas,jerarquico,UMAP,0.511915,0.511915,7,0,0.0,,,"k=7,metodo=complete"
34,unigramas,jerarquico,UMAP,0.508995,0.508995,5,0,0.0,,,"k=5,metodo=single"
35,unigramas,jerarquico,PCA,0.505407,0.505407,10,0,0.0,,,"k=10,metodo=ward"
36,unigramas,jerarquico,UMAP,0.500298,0.500298,3,0,0.0,,,"k=3,metodo=ward"
37,unigramas,jerarquico,PCA,0.497839,0.497839,8,0,0.0,,,"k=8,metodo=ward"
38,unigramas,jerarquico,PCA,0.492263,0.492263,4,0,0.0,,,"k=4,metodo=ward"
39,unigramas,jerarquico,PCA,0.491969,0.491969,7,0,0.0,,,"k=7,metodo=ward"
40,unigramas,jerarquico,PCA,0.491228,0.491228,3,0,0.0,,,"k=3,metodo=ward"
41,unigramas,jerarquico,PCA,0.489948,0.489948,4,0,0.0,,,"k=4,metodo=average"
42,unigramas,jerarquico,PCA,0.482196,0.482196,9,0,0.0,,,"k=9,metodo=average"
43,unigramas,jerarquico,PCA,0.476768,0.476768,8,0,0.0,,,"k=8,metodo=average"
44,unigramas,jerarquico,PCA,0.476159,0.476159,5,0,0.0,,,"k=5,metodo=average"
45,unigramas,jerarquico,PCA,0.475023,0.475023,6,0,0.0,,,"k=6,metodo=ward"
46,unigramas,jerarquico,PCA,0.47113,0.47113,5,0,0.0,,,"k=5,metodo=ward"
47,unigramas,jerarquico,PCA,0.471063,0.471063,7,0,0.0,,,"k=7,metodo=average"
48,unigramas,jerarquico,PCA,0.466914,0.466914,9,0,0.0,,,"k=9,metodo=ward"
49,unigramas,jerarquico,PCA,0.459699,0.459699,10,0,0.0,,,"k=10,metodo=complete"
50,unigramas,jerarquico,PCA,0.456669,0.456669,6,0,0.0,,,"k=6,metodo=average"
51,unigramas,jerarquico,PCA,0.447429,0.447429,9,0,0.0,,,"k=9,metodo=complete"
52,unigramas,jerarquico,PCA,0.437787,0.437787,2,0,0.0,,,"k=2,metodo=ward"
53,unigramas,jerarquico,PCA,0.437787,0.437787,2,0,0.0,,,"k=2,metodo=average"
54,unigramas,jerarquico,PCA,0.390088,0.390088,8,0,0.0,,,"k=8,metodo=complete"
55,unigramas,jerarquico,PCA,0.373434,0.373434,6,0,0.0,,,"k=6,metodo=complete"
56,unigramas,jerarquico,PCA,0.372694,0.372694,7,0,0.0,,,"k=7,metodo=complete"
57,unigramas,jerarquico,UMAP,0.372161,0.372161,4,0,0.0,,,"k=4,metodo=single"
58,unigramas,jerarquico,PCA,0.356126,0.356126,5,0,0.0,,,"k=5,metodo=complete"
59,unigramas,jerarquico,TSNE,0.328096,0.328096,3,0,0.0,,,"k=3,metodo=average"
60,unigramas,jerarquico,PCA,0.324961,0.324961,3,0,0.0,,,"k=3,metodo=complete"
61,unigramas,jerarquico,PCA,0.324732,0.324732,4,0,0.0,,,"k=4,metodo=complete"
62,unigramas,jerarquico,TSNE,0.306222,0.306222,3,0,0.0,,,"k=3,metodo=ward"
63,unigramas,jerarquico,TSNE,0.29914,0.29914,4,0,0.0,,,"k=4,metodo=average"
64,unigramas,jerarquico,TSNE,0.296903,0.296903,6,0,0.0,,,"k=6,metodo=complete"
65,unigramas,jerarquico,TSNE,0.296605,0.296605,5,0,0.0,,,"k=5,metodo=average"
66,unigramas,jerarquico,TSNE,0.295923,0.295923,2,0,0.0,,,"k=2,metodo=average"
67,unigramas,jerarquico,TSNE,0.29279,0.29279,8,0,0.0,,,"k=8,metodo=average"
68,unigramas,jerarquico,TSNE,0.291665,0.291665,9,0,0.0,,,"k=9,metodo=ward"
69,unigramas,jerarquico,TSNE,0.288871,0.288871,2,0,0.0,,,"k=2,metodo=ward"
70,unigramas,jerarquico,TSNE,0.286547,0.286547,10,0,0.0,,,"k=10,metodo=ward"
71,unigramas,jerarquico,TSNE,0.284847,0.284847,8,0,0.0,,,"k=8,metodo=ward"
72,unigramas,jerarquico,TSNE,0.282445,0.282445,5,0,0.0,,,"k=5,metodo=ward"
73,unigramas,jerarquico,TSNE,0.281612,0.281612,6,0,0.0,,,"k=6,metodo=average"
74,unigramas,jerarquico,TSNE,0.278093,0.278093,6,0,0.0,,,"k=6,metodo=ward"
75,unigramas,jerarquico,TSNE,0.276734,0.276734,9,0,0.0,,,"k=9,metodo=average"
76,unigramas,jerarquico,TSNE,0.275784,0.275784,7,0,0.0,,,"k=7,metodo=ward"
77,unigramas,jerarquico,TSNE,0.27562,0.27562,10,0,0.0,,,"k=10,metodo=average"
78,unigramas,jerarquico,TSNE,0.273831,0.273831,4,0,0.0,,,"k=4,metodo=ward"
79,unigramas,jerarquico,TSNE,0.268461,0.268461,10,0,0.0,,,"k=10,metodo=complete"
80,unigramas,jerarquico,PCA,0.26552,0.26552,2,0,0.0,,,"k=2,metodo=single"
81,unigramas,jerarquico,TSNE,0.263557,0.263557,7,0,0.0,,,"k=7,metodo=average"
82,unigramas,jerarquico,TSNE,0.26241,0.26241,5,0,0.0,,,"k=5,metodo=complete"
83,unigramas,jerarquico,TSNE,0.259537,0.259537,7,0,0.0,,,"k=7,metodo=complete"
84,unigramas,jerarquico,TSNE,0.255228,0.255228,9,0,0.0,,,"k=9,metodo=complete"
85,unigramas,jerarquico,PCA,0.254188,0.254188,9,0,0.0,,,"k=9,metodo=single"
86,unigramas,jerarquico,PCA,0.248221,0.248221,8,0,0.0,,,"k=8,metodo=single"
87,unigramas,jerarquico,TSNE,0.247689,0.247689,4,0,0.0,,,"k=4,metodo=complete"
88,unigramas,jerarquico,TSNE,0.247157,0.247157,3,0,0.0,,,"k=3,metodo=complete"
89,unigramas,jerarquico,TSNE,0.235143,0.235143,2,0,0.0,,,"k=2,metodo=complete"
90,unigramas,jerarquico,TSNE,0.234441,0.234441,8,0,0.0,,,"k=8,metodo=complete"
91,unigramas,jerarquico,TSNE,0.2167,0.2167,2,0,0.0,,,"k=2,metodo=single"
92,unigramas,jerarquico,PCA,0.213298,0.213298,7,0,0.0,,,"k=7,metodo=single"
93,unigramas,jerarquico,PCA,0.190519,0.190519,2,0,0.0,,,"k=2,metodo=complete"
94,unigramas,jerarquico,PCA,0.162386,0.162386,10,0,0.0,,,"k=10,metodo=single"
95,unigramas,jerarquico,UMAP,0.156285,0.156285,3,0,0.0,,,"k=3,metodo=single"
96,unigramas,jerarquico,UMAP,0.130944,0.130944,2,0,0.0,,,"k=2,metodo=single"
97,unigramas,jerarquico,PCA,0.112621,0.112621,4,0,0.0,,,"k=4,metodo=single"
98,unigramas,jerarquico,PCA,0.092216,0.092216,6,0,0.0,,,"k=6,metodo=single"
99,unigramas,jerarquico,PCA,0.082768,0.082768,5,0,0.0,,,"k=5,metodo=single"
100,unigramas,jerarquico,PCA,0.080442,0.080442,3,0,0.0,,,"k=3,metodo=single"
101,unigramas,jerarquico,TSNE,-0.023486,-0.023486,3,0,0.0,,,"k=3,metodo=single"
102,unigramas,jerarquico,TSNE,-0.035349,-0.035349,4,0,0.0,,,"k=4,metodo=single"
103,unigramas,jerarquico,TSNE,-0.100393,-0.100393,5,0,0.0,,,"k=5,metodo=single"
104,unigramas,jerarquico,TSNE,-0.102465,-0.102465,7,0,0.0,,,"k=7,metodo=single"
105,unigramas,jerarquico,TSNE,-0.109861,-0.109861,6,0,0.0,,,"k=6,metodo=single"
106,unigramas,jerarquico,TSNE,-0.111059,-0.111059,8,0,0.0,,,"k=8,metodo=single"
107,unigramas,jerarquico,TSNE,-0.16768,-0.16768,9,0,0.0,,,"k=9,metodo=single"
108,unigramas,jerarquico,TSNE,-0.168221,-0.168221,10,0,0.0,,,"k=10,metodo=single"
1,unigramas,kmeans,PCA,1.0,0.518816,3,0,0.0,2.5533,3.0,k=3
2,unigramas,kmeans,TSNE,1.0,0.349828,3,0,0.0,1034229.5,3.0,k=3
3,unigramas,kmeans,UMAP,0.933333,0.564381,2,0,0.0,363.0577,4.0,k=2
4,unigramas,kmeans,PCA,0.87401,0.500644,4,0,0.0,2.19,3.0,k=4
5,unigramas,kmeans,TSNE,0.834703,0.33923,4,0,0.0,746851.8125,3.0,k=4
6,unigramas,kmeans,UMAP,0.81979,0.533062,4,0,0.0,136.6926,4.0,k=4
7,unigramas,kmeans,UMAP,0.818203,0.555958,8,0,0.0,52.8777,4.0,k=8
8,unigramas,kmeans,UMAP,0.75697,0.527937,5,0,0.0,111.3938,4.0,k=5
9,unigramas,kmeans,UMAP,0.688725,0.539249,9,0,0.0,45.2128,4.0,k=9
10,unigramas,kmeans,UMAP,0.683109,0.520894,6,0,0.0,82.323,4.0,k=6
11,unigramas,kmeans,UMAP,0.655551,0.539277,10,0,0.0,38.539,4.0,k=10
12,unigramas,kmeans,UMAP,0.633117,0.517999,7,0,0.0,69.4317,4.0,k=7
13,unigramas,kmeans,TSNE,0.615935,0.321661,2,0,0.0,1656888.125,3.0,k=2
14,unigramas,kmeans,TSNE,0.55494,0.31944,5,0,0.0,608908.3125,3.0,k=5
15,unigramas,kmeans,TSNE,0.518462,0.321864,7,0,0.0,432513.4688,3.0,k=7
16,unigramas,kmeans,PCA,0.436682,0.414875,2,0,0.0,5.2974,3.0,k=2
17,unigramas,kmeans,PCA,0.40231,0.44082,9,0,0.0,0.8962,3.0,k=9
18,unigramas,kmeans,PCA,0.381184,0.417065,6,0,0.0,1.5185,3.0,k=6
19,unigramas,kmeans,PCA,0.309094,0.416002,8,0,0.0,1.1243,3.0,k=8
20,unigramas,kmeans,UMAP,0.266667,0.442728,3,0,0.0,278.8794,4.0,k=3
21,unigramas,kmeans,PCA,0.264741,0.420378,10,0,0.0,0.8287,3.0,k=10
22,unigramas,kmeans,TSNE,0.252435,0.297823,6,0,0.0,536195.125,3.0,k=6
23,unigramas,kmeans,PCA,0.233333,0.381531,5,0,0.0,1.8695,3.0,k=5
24,unigramas,kmeans,TSNE,0.225441,0.301009,8,0,0.0,411001.75,3.0,k=8
25,unigramas,kmeans,PCA,0.184965,0.38512,7,0,0.0,1.3471,3.0,k=7
26,unigramas,kmeans,TSNE,0.154959,0.298026,9,0,0.0,362279.4375,3.0,k=9
27,unigramas,kmeans,TSNE,0.066667,0.293612,10,0,0.0,325978.25,3.0,k=10
