marca temporal,edad,genero,accesibilidad y transporte publico en la ciudad.,limpieza y mantenimiento de las calles y espacios publicos en general,nivel de seguridad general en el municipio,calidad de la oferta gastronomica,conservacion y belleza del patrimonio arquitectonico e historico,"infraestructura de servicios (hoteles, plazas, comercios)",cantidad y calidad de areas naturales y parques,"oferta de actividades de entretenimiento, arte y cultura",salamanca es una ciudad receptiva...,salamanca es agradable para pasar el tiempo,salamanca es interesante para explorar,el ambiente es tranquilo y relajante,los habitantes son amables y hospitalarios,la identidad industrial aporta valor positivo,potencial para turismo cultural,me gustaria visitar o seguir disfrutando de salamanca,recomendaria ampliamente que visiten salamanca,mi percepcion global sobre salamanca es muy positiva,"en tus propias palabras, que opinas de salamanca y que palabra, frase o recuerdo usarias para describirla principalmente?",ciudad de origen,ciudad de origen.1,columna 23
2/03/2026 18:32:20,21,femenino,3,2,1,3,3,2,1,1,3,2,1,1,2,3,1,2,1,1,salamanca es una ciudad para vivir solo si es necesario quedarse aqui.,silao,,
2/03/2026 18:35:11,20,femenino,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,"le faltan mayores atractivos turisticos, la ciudad se ve muy gris en general y no es del todo segura",silao,,
2/03/2026 18:45:43,21,femenino,3,2,2,4,3,3,3,3,3,4,4,3,5,4,3,4,4,4,muy calido,silao,,
2/03/2026 18:55:10,20,masculino,2,2,1,2,3,2,3,2,3,2,2,3,3,2,1,1,1,1,contaminacion,silao,,
2/03/2026 18:57:24,19,femenino,3,3,2,3,3,3,3,4,3,2,2,3,4,3,3,4,3,3,aventurero,salvatierra,,
2/03/2026 19:06:45,22,masculino,4,2,2,4,2,2,1,1,2,2,2,2,3,5,1,3,2,3,ciudad industrial,otro,,
2/03/2026 19:20:00,21,femenino,3,3,2,4,3,4,3,3,4,3,3,3,4,3,3,3,3,3,"no es una ciudad que la gente elija principalmente para visitar, pero es un lugar que funciona para quienes viven ahi. tiene lo necesario para el dia a dia y aunque enfrenta varios retos, tambien tiene potencial para mejorar y crecer",guanajuato,,
2/03/2026 19:20:20,22,femenino,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,interesante,guanajuato,,
2/03/2026 19:20:30,20,femenino,3,3,2,4,3,3,3,4,1,3,1,1,3,4,1,2,1,2,"fortaleza cotidiana, por que refleja la mezcla de esfuerzo, comunidad y tradicion que se vive dia a dia en la ciudad",guanajuato,,
2/03/2026 19:27:34,19,femenino,3,5,3,5,5,5,5,3,5,2,2,5,5,3,3,3,3,3,bonito pueblo pero sin muchas cosas que hacer,guanajuato,,
2/03/2026 19:28:33,19,masculino,2,2,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,que le falta atracciones. abandono,guanajuato,,
2/03/2026 19:28:37,19,masculino,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,"es una ciudad fea, pero debe tener lo suyo",silao,,
2/03/2026 19:30:07,20,femenino,3,3,2,2,4,3,2,1,3,3,1,2,5,5,1,1,1,2,"es una ciudad tranquila, sin embargo, esa tranquilidad hace que la ciudad sea algo aburrida. la inseguridad tambien es un factor detonante para pensar en no visitar esta ciudad. lo mejor que resaltaria de salamanca es a su gente calida y amable.",otro,,
2/03/2026 19:30:08,20,femenino,2,4,5,3,3,2,3,3,2,3,3,3,3,4,3,3,2,3,ir por lugares con mucha gente para pasarla bien,leon,,
2/03/2026 19:30:34,19,masculino,3,2,1,3,3,3,2,2,3,2,2,2,4,2,2,1,1,2,"es una ciudad que aunque cuenta con una comunidad sumamente calida, deja mucho que desear en cuanto a infraestructura, seguridad y turismo",guanajuato,,
2/03/2026 19:32:38,21,masculino,3,4,1,4,3,2,2,2,2,1,1,1,3,1,1,1,1,1,salamanca esa ciudad con un bajo indice de seguridad y de apoyo por parte de las autoridades politicas de seguridad,salamanca,,
2/03/2026 19:34:45,26,masculino,3,2,1,3,2,2,2,2,1,1,1,1,2,1,1,1,1,1,"es mordor, es una ciudad la cual es complicada",guanajuato,,
2/03/2026 19:39:23,18,femenino,3,4,4,4,5,3,3,4,3,2,1,2,2,3,1,2,1,2,algo agradable,guanajuato,,
2/03/2026 19:43:37,24,femenino,3,3,1,4,3,4,2,1,4,3,3,2,3,4,2,2,3,2,"salamanca, anteriormente se llamaba xidoo, que significa “lugar sobre tepetates”, hoy en dia, salamanca es considerada ciudad industrial, por la refineria, entre otras empresas que representan el significado de la ciudad.",guanajuato,,
2/03/2026 19:46:26,18,masculino,3,2,2,4,4,3,3,2,3,2,4,3,3,2,2,5,5,3,"salamanca esta mas o menos para vivir en mi opinion, porque no me gusta del todo la calidad del aire ya que la refineria la degrada. “salamayork”",silao,,
2/03/2026 19:46:38,20,masculino,3,3,4,4,4,3,4,3,3,3,3,4,3,4,4,3,3,3,es un lugar muy tranquilo pero no tan repetitivo,penjamo,,
2/03/2026 19:48:02,22,femenino,3,3,1,3,4,3,3,3,3,2,2,2,4,4,2,1,1,2,"me imagino que tiene cosas padres y su gente es trabajadora, pero tambien se dice que es una ciudad muy insegura y puede que hasta contaminada",guanajuato,,
2/03/2026 19:51:46,20,masculino,3,2,2,3,2,2,2,2,2,1,1,1,3,3,2,2,2,1,nada,guanajuato,,
2/03/2026 19:51:52,21,masculino,1,1,3,4,2,4,3,3,3,2,3,1,2,3,3,4,4,4,me gustaria conocer la ciudad y pues e escuchado que es una zona no tan segura,guanajuato,,
2/03/2026 19:54:23,19,femenino,3,3,2,2,3,3,3,3,2,2,2,2,3,3,3,3,3,4,esta linda pero no es totalmente de mi agrado,silao,,
2/03/2026 19:54:43,19,femenino,3,5,3,3,3,3,3,3,3,1,1,2,3,4,3,2,2,2,equis,guanajuato,,
2/03/2026 19:54:48,19,femenino,2,2,1,4,2,2,2,3,4,4,4,5,2,3,4,4,4,4,"es una ciudad con buena estabilidad economica pero tambien con mucha delincuencia, ademas por las refinerias existe mucha contaminacion",guanajuato,,
2/03/2026 19:55:33,14,femenino,4,3,4,4,3,3,3,3,4,4,4,3,5,4,3,4,4,4,"no es la mas bonita del estado ni la mas turistica como guanajuato o san miguel de allende, pero tiene algo muy particular, es una ciudad trabajadora. se siente industrial, con movimiento constante, con gente que madruga, que viene por oportunidades y que hace su vida ahi con esfuerzo.",silao,,
2/03/2026 19:57:55,20,femenino,4,5,5,5,5,5,5,5,4,4,2,3,4,3,2,2,2,3,"le falta promocion, no se mucho de ella",otro,,
2/03/2026 19:58:39,21,femenino,3,4,1,3,3,3,2,2,3,4,2,2,3,3,2,5,5,3,es muy buen municipio pero lo malo es su inseguridad y falta te mantenimiento hacia el. cada vez se queda mas solo y la verdad tiene cosas muy buenas y bonitas para poder seguir disfrutando.,salamanca,,
2/03/2026 19:58:48,21,femenino,3,2,1,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,hay contaminacion y su nivel de inseguridad es alto.,guanajuato,,
2/03/2026 19:59:24,22,femenino,3,2,2,2,1,1,1,1,2,1,1,2,2,3,1,1,1,1,"""en salamanca no hay mucho que hacer"", salamanca tiene pocos lugares para visitar o pasar el rato",salamanca,,
2/03/2026 20:04:08,18,masculino,5,4,4,4,4,5,4,4,4,4,3,3,4,4,3,4,4,3,una ciudad muy bella,silao,,
2/03/2026 20:05:12,24,femenino,3,2,2,4,3,3,2,3,3,2,1,2,3,2,2,2,1,2,industrial,guanajuato,,
2/03/2026 20:09:40,21,femenino,3,1,1,3,2,2,1,2,3,1,1,3,3,4,1,1,1,2,insegura,salamanca,,
2/03/2026 20:09:51,22,femenino,4,3,2,3,3,3,4,4,3,2,2,1,3,3,3,2,2,3,.,leon,,
2/03/2026 20:11:30,20,masculino,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,preciosa,silao,,
2/03/2026 20:16:24,19,masculino,3,4,3,3,3,2,3,3,3,2,2,2,4,2,1,3,2,2,"salamanca tiene potencial, pero no cuenta con muchos lugares a donde ir a las plazas y demas lugares se encuentran un poco alejadas, ademas de que los camiones dejan de pasar a una hora un poco temprana y la seguridad es un poco mala, al menos las personas q conozco si tienen desconfianza de salir ya tarde",silao,,
2/03/2026 20:23:36,20,femenino,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,es una ciudad agradable,guanajuato,,
2/03/2026 20:28:45,20,masculino,3,3,3,4,3,3,3,3,3,2,1,1,3,3,1,3,4,3,salamcayork,silao,,
2/03/2026 20:30:58,20,masculino,3,2,2,3,3,3,3,3,3,2,2,2,3,2,3,2,1,2,cuidad gasolina ⛽,irapuato,,
2/03/2026 20:31:23,20,femenino,3,2,1,2,2,3,2,3,3,2,1,1,4,3,2,3,2,2,"salamanca es una ciudad industrializada la cual tiene muchos aspectos por mejorar, sin embargo considero que las personas que viven ahi, hacen y tienen reciprocidad ante los eventos ocurridos o condiciones ecologicas y estas mismas ayudan a que salamanca sea memorable",otro,,
2/03/2026 20:33:09,25,masculino,2,2,1,3,3,3,1,2,1,1,1,1,4,5,1,3,1,1,la industriosa ciudad de salamanca,guanajuato,,
2/03/2026 20:34:52,23,femenino,3,4,1,2,3,4,2,2,3,2,2,2,4,5,3,3,2,3,es una ciudad con potencial,otro,,
2/03/2026 20:35:49,19,femenino,4,3,2,3,2,3,3,2,4,3,2,2,5,4,2,3,2,3,"considero que salamanca tiene oportunidades de crecimiento, pero requiere mayor atencion a temas de seguridad y espacios recreativos :)",guanajuato,,
2/03/2026 20:39:54,23,masculino,2,2,1,5,3,3,3,4,3,2,1,1,3,4,5,2,2,2,"aun que muy bonita culturalmente, actualmente (al igual que todo el pais) es muy inseguro y poco fiable para recorrer como turismo",otro,,
2/03/2026 20:42:06,25,femenino,1,2,1,2,2,2,2,1,1,1,1,1,2,3,1,1,1,1,"salamanca es una ciudad industrial, que produce .. desafortunadamente se estanco en una ciudad sucia, olvidada y con un indice de delincuencia muy alto ... quisiera que volviera a ser como antes mi salamanca dulce nido",salamanca,,
2/03/2026 20:47:09,22,masculino,4,4,2,4,3,2,4,4,4,3,3,2,4,2,3,3,2,3,es una ciudad bastante curiosa,penjamo,,
2/03/2026 20:47:33,22,masculino,3,3,3,4,4,2,3,3,3,2,2,3,3,3,2,1,2,2,esta x la ciudad,guanajuato,,
2/03/2026 20:49:43,20,masculino,5,3,2,4,4,3,3,4,3,2,2,1,2,1,3,2,3,3,diversidad cultural,guanajuato,,
2/03/2026 20:49:53,22,femenino,3,2,1,2,1,2,1,1,2,1,1,1,2,1,1,2,2,2,un lugar demasiado tranquilo,otro,,
2/03/2026 20:52:21,18,femenino,4,1,1,3,3,4,4,5,3,2,5,4,5,4,5,5,5,5,"hay muchas cosas positivas de salamanca pero creo que la inseguridad,la falta de empatia por parte de la gente al cruzar las calles la hace muy peligrosa y tambien la inseguridad, y los malos holores provenientes de las empresas arruinan la experiencia.",valle de santiago,,
2/03/2026 20:52:31,21,masculino,3,2,2,3,4,4,3,3,3,3,2,2,3,3,3,3,3,3,acogedora,salamanca,,
2/03/2026 20:56:12,18,femenino,3,1,2,2,1,2,2,2,3,2,2,2,3,3,2,3,3,3,contaminacion,valle de santiago,,
2/03/2026 20:56:41,20,masculino,3,3,1,3,3,3,1,2,3,2,3,2,4,4,3,3,3,3,"bien en el centro, mal en la periferia",guanajuato,,
2/03/2026 20:56:44,20,masculino,2,1,1,2,2,2,3,2,3,2,2,2,3,2,1,3,3,2,"pues no la he visitado, pero dicen que es muy insegura, la palabra con la que yo la identifico seria como un municipio catalogado como inseguro.",guanajuato,,
2/03/2026 20:59:40,24,masculino,1,1,1,3,2,2,2,2,3,2,2,1,3,2,2,3,2,2,inseguridad y muerte,guanajuato,,
2/03/2026 21:11:29,20,masculino,3,3,3,3,3,3,3,4,5,2,3,1,4,2,3,3,3,3,intranquilo,leon,,
2/03/2026 21:14:12,20,femenino,3,3,2,3,4,4,4,3,3,3,3,2,4,4,2,3,3,2,mucha contaminacion,guanajuato,,
2/03/2026 21:19:59,18,masculino,3,2,1,3,2,3,3,4,2,2,3,2,3,3,3,2,3,3,una ciudad productiva,guanajuato,,
2/03/2026 21:27:39,21,femenino,4,4,2,3,4,4,3,4,2,3,4,4,4,5,5,4,4,5,esta linda para turistear,guanajuato,,
2/03/2026 21:30:04,19,masculino,3,2,2,4,3,4,2,3,4,3,2,3,4,3,3,3,2,3,"percibo la ciudad como funcional trabajadora y tranquila, no es una ciudad que impresione al verla, pero tiene una identidad muy marcada por su industria, es una ciudad  mas practica que turista   no la describiria como linda"" si no como estable y sencilla, un lugar donde la gente vive con calma",irapuato,,
2/03/2026 21:32:48,19,masculino,3,2,2,3,2,2,2,4,3,3,2,5,3,5,3,4,4,3,"pues esta chida porque ahi estudia mi amigo, y la vdd queda cerca de silao y leon",otro,,
2/03/2026 21:53:41,18,masculino,3,3,2,2,2,3,2,3,3,2,1,2,3,1,1,2,1,2,mucha contaminacion de aire y no muy ecologista.,abasolo,,
2/03/2026 21:58:22,18,masculino,3,3,2,2,1,1,1,3,2,2,2,1,4,1,1,3,3,2,"como foraneo diria que vienes a lo que vienes a estudiar pq no hay tantos lugares a donde salir, o por los mismo factores de inseguridad",guanajuato,,
2/03/2026 22:24:23,21,femenino,4,3,3,4,5,4,4,4,4,4,4,3,4,4,4,4,5,4,la amo porque ahi viven todos mis ex’s,leon,,
2/03/2026 22:25:15,21,femenino,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,5,3,3,solo me gusta porque estan los diablos de salamanca y me gusta el beisbol,valle de santiago,,
2/03/2026 22:55:48,26,masculino,4,2,2,3,2,3,1,3,3,3,3,3,3,3,3,4,3,3,explendida,otro,,
2/03/2026 22:58:25,19,femenino,4,4,3,4,2,3,3,3,3,3,4,3,3,3,3,3,2,3,resiliente,guanajuato,,
2/03/2026 23:00:36,20,masculino,3,2,3,3,3,3,3,2,3,2,2,3,4,3,2,3,3,3,el olor de la cuidad esta exotico,silao,,
2/03/2026 23:23:31,20,femenino,3,3,1,3,3,4,4,4,2,3,2,3,3,3,3,2,2,2,"nunca he ido, entonces fue dificil contestar jajaja",leon,,
2/03/2026 23:55:37,19,masculino,2,3,1,2,4,3,3,3,2,3,4,2,3,2,1,3,2,4,pozole con salchicha,guanajuato,,
2/03/2026 23:59:36,21,masculino,2,2,1,3,2,2,3,2,2,2,1,3,3,5,1,2,1,1,creo que salamanca es una ciudad industrial y de desarrollo antes que turistica.,leon,,
3/03/2026 0:23:32,21,masculino,3,3,2,4,4,4,3,5,2,2,4,2,4,5,4,4,2,3,resiliencia,guanajuato,,
3/03/2026 0:45:04,21,femenino,3,3,2,3,3,3,3,3,3,3,3,2,3,4,3,3,3,2,es muy inseguro,guanajuato,,
3/03/2026 0:57:20,20,masculino,3,4,3,2,3,3,2,3,3,2,2,2,3,3,4,2,2,3,tiene potencial para tener plazas comerciales de nivel de la ciudad de leon o incluso traer tiendas/franquicias reconocidas a nivel nacional,dolores hidalgo,,
3/03/2026 6:01:50,20,masculino,4,4,4,3,4,4,5,5,5,4,3,4,4,3,2,2,2,2,crimen,valle de santiago,,
3/03/2026 10:11:59,20,masculino,3,2,2,2,3,2,2,2,2,2,2,2,1,5,1,2,2,2,"es una ciudad muy extrana sin duda, su ambiente no es el mas agradable en general.",guanajuato,,
3/03/2026 10:50:21,20,masculino,3,2,3,4,4,4,4,3,4,3,4,3,4,3,5,4,3,3,"opino que es una ciudad que ultimamente ha sido opacada en parte por la inseguridad y tambien en gobierno pero si ha permanecido bien en lo demas la verdad la gente es muy hospitalaria y el ambiente es calido, es muy bueno que todavia existan personas asi, si pudiera describir a salamanca con una palabra seria: resiliente",orizaba,,
3/03/2026 11:48:24,24,masculino,3,2,1,3,3,3,2,3,1,2,3,1,3,3,2,3,2,2,creo que salamanca se ha vuelto muy insegura.,guanajuato,,
3/03/2026 12:25:41,20,femenino,2,2,1,2,1,3,1,3,3,1,2,1,2,2,2,1,1,3,buena arquitectura y peligroso,silao,,
3/03/2026 13:23:06,22,masculino,2,2,1,5,3,2,3,4,2,3,4,3,5,4,2,3,3,2,ciudad gasolina,salamanca,,
3/03/2026 19:35:19,23,femenino,2,3,1,3,3,3,2,3,3,2,2,1,2,1,2,3,3,3,es insegura pero siento que pueden mejorar en ese aspecto,irapuato,,
5/03/2026 9:57:31,23,masculino,2,3,1,4,4,3,4,2,3,2,1,3,5,2,2,4,1,1,es el resultado de la refineria,guanajuato,,
